CommBench Pro Test Report
Generated: 2026-07-10T16:17:36.680
Mode: TCP Network
Config: 172.16.32.231:10160

Summary
Total Sent: 394
Success Received: 394
Lost Packets: 0
Success Rate: 100.00%
Average Elapsed: 40.39 ms
Min Elapsed: 13 ms
Max Elapsed: 108 ms

Packet Details
ID,SentAt,ReceivedAt,ElapsedMs,Status,TX,RX
1,2026-07-10T16:11:03.244,2026-07-10T16:11:03.261,17,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
2,2026-07-10T16:11:04.247,2026-07-10T16:11:04.261,14,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
3,2026-07-10T16:11:05.248,2026-07-10T16:11:05.262,13,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
4,2026-07-10T16:11:06.242,2026-07-10T16:11:06.262,19,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
5,2026-07-10T16:11:07.249,2026-07-10T16:11:07.262,13,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
6,2026-07-10T16:11:08.242,2026-07-10T16:11:08.261,20,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
7,2026-07-10T16:11:09.244,2026-07-10T16:11:09.261,17,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
8,2026-07-10T16:11:10.247,2026-07-10T16:11:10.261,14,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
9,2026-07-10T16:11:11.250,2026-07-10T16:11:11.271,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
10,2026-07-10T16:11:12.242,2026-07-10T16:11:12.262,20,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
11,2026-07-10T16:11:13.244,2026-07-10T16:11:13.262,17,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
12,2026-07-10T16:11:14.248,2026-07-10T16:11:14.272,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
13,2026-07-10T16:11:15.248,2026-07-10T16:11:15.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
14,2026-07-10T16:11:16.247,2026-07-10T16:11:16.261,15,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
15,2026-07-10T16:11:17.248,2026-07-10T16:11:17.278,31,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
16,2026-07-10T16:11:18.248,2026-07-10T16:11:18.270,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
17,2026-07-10T16:11:19.240,2026-07-10T16:11:19.264,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
18,2026-07-10T16:11:20.243,2026-07-10T16:11:20.269,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
19,2026-07-10T16:11:21.244,2026-07-10T16:11:21.268,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
